time_step,value
0,-0.2254928770483151
1,-0.2730967009515198
2,-0.1093781785485239
3,0.0641933471015166
4,-0.1622516168705973
5,-0.131612432482459
6,0.1634568619487758
7,0.0564438308708334
8,-0.1230319303317396
9,0.0261407643423799
10,-0.1357015125589209
11,-0.1545638312733929
12,-0.0734213360793274
13,-0.4268568292956308
14,-0.4323068518649182
15,-0.2934340384770548
16,-0.3965373092440184
17,-0.2311799256955659
18,-0.4446697526957671
19,-0.5453230051442574
20,0.0263172815884251
21,0.1611304466641802
22,0.0102867333101903
23,-0.4534503945338957
24,-0.3425427376498636
25,-0.3050515407852563
26,-0.4637022441330667
27,-0.1975659840702802
28,-0.301746162406011
29,-0.2095788248749675
30,-0.2084378100162279
31,0.2073028537186802
32,-0.0267378611561361
33,-0.1410995888848904
34,0.1780713079715632
35,-0.0978002546175534
36,0.1397226606915622
37,-0.1708037152658874
38,-0.0700204979580795
39,0.1561041250030356
40,0.2263993101804418
41,0.1228190557588231
42,0.029733178538744083
43,0.01571502336218648
44,0.1741707942310804
45,0.30700041769486475
46,0.4246929794164549
47,0.5070876345200934
48,0.5992430521214711
49,0.7817422458901336
50,0.6543605919712056
51,0.7112965236376075
52,0.43512647626797607
53,1.2147521357742554
54,6.412256532482785
55,1.2147521357742554
56,1.0812068399248493
57,0.7061317916841536
58,0.4254936485358257
59,0.2932553139728875
60,0.14002153163865202
61,0.44353120126934975
62,0.7866713459955467
63,0.9246066401077454
64,1.2160261349581336
65,1.2588183289704058
66,1.2412985646702392
67,1.362400871069085
68,1.389702658066957
69,1.3207449782954785
70,1.3743522482820247
71,1.2478450981851261
72,1.117538359420264
73,1.284868881103616
74,1.4056041771597656
75,1.2450578795129683
76,1.4567284141448158
77,1.5427460402413449
78,1.5383450087983606
79,1.4473973085597458
80,1.3896678410173782
81,1.177964210679791
82,1.0711908475633183
83,1.169732205087719
84,1.1267206973870285
85,1.3579355907397426
86,1.4793340149075938
87,1.5331531389159814
88,1.649589824459669
89,1.6506751897501954
90,1.4197739253002424
91,1.2313716064379852
92,0.9928888754300234
93,0.8212685382395115
94,0.9151618532224273
95,1.25085832534022
96,1.3815848999593896
97,1.8320823394915426
98,4.835398603039231
99,1.8320823394915426
